,loss,loss,,mean,,thresh
102:,loss,0.59,reward_mean,120.5,reward_threshold,255
103:,loss,0.618,reward_mean,105.5,reward_threshold,258.2
104:,loss,0.659,reward_mean,91.1,reward_threshold,243.8
105:,loss,0.677,reward_mean,87.5,reward_threshold,252.4
106:,loss,0.659,reward_mean,92.7,reward_threshold,244.3
107:,loss,0.685,reward_mean,80.1,reward_threshold,238.5
108:,loss,0.675,reward_mean,60,reward_threshold,240.4
109:,loss,0.644,reward_mean,72.4,reward_threshold,257.9
110:,loss,0.616,reward_mean,93.8,reward_threshold,249.6
111:,loss,0.632,reward_mean,103.3,reward_threshold,263.3
112:,loss,0.592,reward_mean,120.8,reward_threshold,259.4
113:,loss,0.574,reward_mean,92.7,reward_threshold,268.5
114:,loss,0.581,reward_mean,96.5,reward_threshold,256.5
115:,loss,0.545,reward_mean,114.7,reward_threshold,268.6
116:,loss,0.57,reward_mean,118.1,reward_threshold,262.7
117:,loss,0.583,reward_mean,120.3,reward_threshold,263.7
118:,loss,0.587,reward_mean,107.9,reward_threshold,265.4
119:,loss,0.593,reward_mean,109.9,reward_threshold,267.6
120:,loss,0.567,reward_mean,110,reward_threshold,267.5
121:,loss,0.589,reward_mean,100,reward_threshold,261.9
122:,loss,0.615,reward_mean,117.7,reward_threshold,267.7
123:,loss,0.63,reward_mean,96.8,reward_threshold,261.3
124:,loss,0.643,reward_mean,114.1,reward_threshold,262.7
125:,loss,0.633,reward_mean,102.2,reward_threshold,263
126:,loss,0.611,reward_mean,117.1,reward_threshold,266.6
127:,loss,0.597,reward_mean,109,reward_threshold,266.9
128:,loss,0.604,reward_mean,119.5,reward_threshold,275.1
129:,loss,0.624,reward_mean,119.5,reward_threshold,270.3
130:,loss,0.594,reward_mean,138.5,reward_threshold,274.3
131:,loss,0.619,reward_mean,134.7,reward_threshold,273.8
132:,loss,0.605,reward_mean,149.5,reward_threshold,284.2
133:,loss,0.625,reward_mean,148.3,reward_threshold,280.3
134:,loss,0.616,reward_mean,138.8,reward_threshold,265
135:,loss,0.611,reward_mean,138.2,reward_threshold,269
136:,loss,0.604,reward_mean,157.7,reward_threshold,281.9
137:,loss,0.613,reward_mean,130.8,reward_threshold,260.1
138:,loss,0.613,reward_mean,157.1,reward_threshold,272.7
139:,loss,0.623,reward_mean,160.8,reward_threshold,270.6
140:,loss,0.621,reward_mean,149.1,reward_threshold,275.7
141:,loss,0.632,reward_mean,159.8,reward_threshold,274.4
142:,loss,0.606,reward_mean,152.4,reward_threshold,271.9
143:,loss,0.623,reward_mean,158.8,reward_threshold,266.5
144:,loss,0.617,reward_mean,166.2,reward_threshold,269.5
145:,loss,0.593,reward_mean,163.5,reward_threshold,263.2
146:,loss,0.583,reward_mean,149.9,reward_threshold,272.1
147:,loss,0.552,reward_mean,173.6,reward_threshold,278.6
148:,loss,0.588,reward_mean,156,reward_threshold,267.6
149:,loss,0.557,reward_mean,154.2,reward_threshold,265.8
150:,loss,0.527,reward_mean,149.7,reward_threshold,264.5
151:,loss,0.517,reward_mean,156.3,reward_threshold,267.8
152:,loss,0.524,reward_mean,150.9,reward_threshold,274.2
153:,loss,0.523,reward_mean,139.4,reward_threshold,272.2
154:,loss,0.525,reward_mean,150.6,reward_threshold,270.6
155:,loss,0.533,reward_mean,127.8,reward_threshold,269.9
156:,loss,0.535,reward_mean,129.2,reward_threshold,259.3
157:,loss,0.538,reward_mean,144.1,reward_threshold,269.7
158:,loss,0.524,reward_mean,142.1,reward_threshold,265.3
159:,loss,0.524,reward_mean,157.5,reward_threshold,272.9
160:,loss,0.505,reward_mean,152.7,reward_threshold,264.2
161:,loss,0.525,reward_mean,185.1,reward_threshold,275
162:,loss,0.556,reward_mean,164.6,reward_threshold,263.4
163:,loss,0.534,reward_mean,154.1,reward_threshold,262.6
164:,loss,0.512,reward_mean,153.7,reward_threshold,263.1
165:,loss,0.54,reward_mean,153.4,reward_threshold,254.8
166:,loss,0.551,reward_mean,153.3,reward_threshold,260.6
167:,loss,0.521,reward_mean,161.3,reward_threshold,259.8
168:,loss,0.546,reward_mean,140.6,reward_threshold,251.7
169:,loss,0.542,reward_mean,143.2,reward_threshold,254.9
170:,loss,0.552,reward_mean,140.6,reward_threshold,256
171:,loss,0.57,reward_mean,139.1,reward_threshold,261.5
172:,loss,0.557,reward_mean,142.4,reward_threshold,261.2
173:,loss,0.572,reward_mean,147.7,reward_threshold,261
174:,loss,0.568,reward_mean,148.6,reward_threshold,262.8
175:,loss,0.549,reward_mean,167.5,reward_threshold,265.9
176:,loss,0.554,reward_mean,161.4,reward_threshold,271.1
177:,loss,0.534,reward_mean,167.4,reward_threshold,267.9
178:,loss,0.555,reward_mean,177.7,reward_threshold,270.2
179:,loss,0.546,reward_mean,169.9,reward_threshold,266.1
180:,loss,0.527,reward_mean,172.1,reward_threshold,277.8
181:,loss,0.52,reward_mean,157.3,reward_threshold,266.1
182:,loss,0.563,reward_mean,166.6,reward_threshold,270
183:,loss,0.561,reward_mean,169.9,reward_threshold,270.3
184:,loss,0.565,reward_mean,154.5,reward_threshold,274.2
185:,loss,0.566,reward_mean,136.9,reward_threshold,267.3
186:,loss,0.517,reward_mean,134.7,reward_threshold,260.5
187:,loss,0.543,reward_mean,121.8,reward_threshold,251.8
188:,loss,0.534,reward_mean,108.9,reward_threshold,269.4
189:,loss,0.513,reward_mean,112.1,reward_threshold,260.2
190:,loss,0.478,reward_mean,106,reward_threshold,266.7
191:,loss,0.505,reward_mean,100.4,reward_threshold,253.6
192:,loss,0.501,reward_mean,112.2,reward_threshold,260.1
193:,loss,0.527,reward_mean,96.7,reward_threshold,251.5
194:,loss,0.528,reward_mean,101,reward_threshold,264.6
195:,loss,0.484,reward_mean,100.5,reward_threshold,249.8
196:,loss,0.486,reward_mean,112.9,reward_threshold,264.6
197:,loss,0.51,reward_mean,114.5,reward_threshold,266.5
198:,loss,0.491,reward_mean,118.4,reward_threshold,265.3
199:,loss,0.502,reward_mean,121.3,reward_threshold,272.6
200:,loss,0.488,reward_mean,100.3,reward_threshold,263.8
201:,loss,0.442,reward_mean,112.6,reward_threshold,254.4
202:,loss,0.492,reward_mean,122,reward_threshold,269.8
203:,loss,0.46,reward_mean,115.9,reward_threshold,268.5
204:,loss,0.469,reward_mean,124.9,reward_threshold,274.3
205:,loss,0.445,reward_mean,123.8,reward_threshold,262
206:,loss,0.463,reward_mean,130.6,reward_threshold,263.8
207:,loss,0.508,reward_mean,149.9,reward_threshold,269.2
208:,loss,0.467,reward_mean,156.8,reward_threshold,269.1
209:,loss,0.478,reward_mean,161.2,reward_threshold,273.6
210:,loss,0.478,reward_mean,153,reward_threshold,275
211:,loss,0.522,reward_mean,170.3,reward_threshold,272.4
212:,loss,0.47,reward_mean,159.7,reward_threshold,279.2
213:,loss,0.508,reward_mean,148,reward_threshold,268.8
214:,loss,0.474,reward_mean,149,reward_threshold,271.1
215:,loss,0.45,reward_mean,163.3,reward_threshold,270.6
216:,loss,0.524,reward_mean,160.8,reward_threshold,278.5
217:,loss,0.518,reward_mean,156.2,reward_threshold,266.7
218:,loss,0.519,reward_mean,156.9,reward_threshold,267
219:,loss,0.493,reward_mean,169.8,reward_threshold,270.9
220:,loss,0.534,reward_mean,174.3,reward_threshold,282.3
221:,loss,0.552,reward_mean,175.8,reward_threshold,276.3
222:,loss,0.537,reward_mean,174.6,reward_threshold,278.6
223:,loss,0.526,reward_mean,177.2,reward_threshold,274.7
224:,loss,0.546,reward_mean,143.5,reward_threshold,268.2
225:,loss,0.562,reward_mean,132.6,reward_threshold,264.6
226:,loss,0.574,reward_mean,131.7,reward_threshold,264.2
227:,loss,0.563,reward_mean,126.9,reward_threshold,256.9
228:,loss,0.594,reward_mean,111.9,reward_threshold,256.8
229:,loss,0.601,reward_mean,113,reward_threshold,266.1
230:,loss,0.555,reward_mean,134.2,reward_threshold,275
231:,loss,0.534,reward_mean,129.6,reward_threshold,277.6
232:,loss,0.549,reward_mean,137.4,reward_threshold,269.6
233:,loss,0.522,reward_mean,161.1,reward_threshold,282.1
234:,loss,0.53,reward_mean,144.6,reward_threshold,274.3
235:,loss,0.5,reward_mean,161.7,reward_threshold,272.8
236:,loss,0.477,reward_mean,168.5,reward_threshold,271.7
237:,loss,0.448,reward_mean,156.9,reward_threshold,269.9
238:,loss,0.514,reward_mean,138.1,reward_threshold,265.1
239:,loss,0.519,reward_mean,154.4,reward_threshold,265.2
240:,loss,0.499,reward_mean,143.5,reward_threshold,265
241:,loss,0.487,reward_mean,132.4,reward_threshold,254.1
242:,loss,0.43,reward_mean,140.2,reward_threshold,261.6
243:,loss,0.486,reward_mean,145.8,reward_threshold,262.5
244:,loss,0.456,reward_mean,169,reward_threshold,265.4
245:,loss,0.448,reward_mean,165.8,reward_threshold,269.1
246:,loss,0.403,reward_mean,162.7,reward_threshold,263.6
247:,loss,0.458,reward_mean,155.1,reward_threshold,268
248:,loss,0.486,reward_mean,123.6,reward_threshold,261.9
249:,loss,0.473,reward_mean,118.1,reward_threshold,261.6
250:,loss,0.462,reward_mean,113.1,reward_threshold,256
251:,loss,0.463,reward_mean,81.5,reward_threshold,246.9
252:,loss,0.467,reward_mean,87.3,reward_threshold,254.2
253:,loss,0.461,reward_mean,70,reward_threshold,240.9
254:,loss,0.45,reward_mean,64,reward_threshold,220
