,loss,loss,,mean,,thresh
454:,loss,0.448,reward_mean,202.5,reward_threshold,286
455:,loss,0.446,reward_mean,212.3,reward_threshold,285.7
456:,loss,0.478,reward_mean,207.9,reward_threshold,280.8
457:,loss,0.438,reward_mean,197.7,reward_threshold,282.9
458:,loss,0.456,reward_mean,204.1,reward_threshold,285.1
459:,loss,0.462,reward_mean,200.8,reward_threshold,286.4
460:,loss,0.479,reward_mean,193,reward_threshold,276.3
461:,loss,0.445,reward_mean,193.1,reward_threshold,283.5
462:,loss,0.454,reward_mean,187.6,reward_threshold,279.7
463:,loss,0.469,reward_mean,203.5,reward_threshold,282.9
464:,loss,0.426,reward_mean,190.9,reward_threshold,284.6
465:,loss,0.503,reward_mean,188.4,reward_threshold,275.3
466:,loss,0.51,reward_mean,186.3,reward_threshold,276.6
467:,loss,0.507,reward_mean,177.7,reward_threshold,271.8
468:,loss,0.47,reward_mean,183.1,reward_threshold,273.8
469:,loss,0.469,reward_mean,190.5,reward_threshold,277.4
470:,loss,0.486,reward_mean,184.3,reward_threshold,280.5
471:,loss,0.496,reward_mean,186.8,reward_threshold,286.4
472:,loss,0.495,reward_mean,161.4,reward_threshold,278
473:,loss,0.494,reward_mean,168,reward_threshold,282
474:,loss,0.481,reward_mean,154.5,reward_threshold,281
475:,loss,0.465,reward_mean,154.3,reward_threshold,283.6
476:,loss,0.479,reward_mean,135,reward_threshold,280.2
477:,loss,0.467,reward_mean,133.8,reward_threshold,274.9
478:,loss,0.455,reward_mean,123.9,reward_threshold,276.5
479:,loss,0.486,reward_mean,123.5,reward_threshold,273
480:,loss,0.448,reward_mean,138.5,reward_threshold,276.6
481:,loss,0.461,reward_mean,152.7,reward_threshold,278.3
482:,loss,0.5,reward_mean,164.3,reward_threshold,276.4
483:,loss,0.428,reward_mean,150.3,reward_threshold,277.4
484:,loss,0.468,reward_mean,174.1,reward_threshold,287
485:,loss,0.415,reward_mean,179.6,reward_threshold,283.4
486:,loss,0.439,reward_mean,191.4,reward_threshold,284.1
487:,loss,0.407,reward_mean,190.4,reward_threshold,286.5
488:,loss,0.466,reward_mean,193,reward_threshold,279.3
489:,loss,0.451,reward_mean,197.4,reward_threshold,290.1
490:,loss,0.415,reward_mean,192.8,reward_threshold,288.7
491:,loss,0.444,reward_mean,193.6,reward_threshold,281
492:,loss,0.406,reward_mean,202.1,reward_threshold,286.3
493:,loss,0.457,reward_mean,201.2,reward_threshold,284.4
494:,loss,0.408,reward_mean,207.9,reward_threshold,291.9
495:,loss,0.413,reward_mean,207.5,reward_threshold,283.2
496:,loss,0.436,reward_mean,224.9,reward_threshold,287.1
497:,loss,0.424,reward_mean,199,reward_threshold,288.6
498:,loss,0.443,reward_mean,214.4,reward_threshold,283.4
499:,loss,0.446,reward_mean,214.5,reward_threshold,284.5
500:,loss,0.427,reward_mean,209,reward_threshold,284.7
501:,loss,0.456,reward_mean,217.5,reward_threshold,284.4
502:,loss,0.466,reward_mean,217.5,reward_threshold,288.3
503:,loss,0.43,reward_mean,227.8,reward_threshold,291
504:,loss,0.461,reward_mean,224.7,reward_threshold,285.2
505:,loss,0.495,reward_mean,229.4,reward_threshold,283.8
506:,loss,0.45,reward_mean,226.8,reward_threshold,282.7
507:,loss,0.461,reward_mean,228.7,reward_threshold,282.4
508:,loss,0.488,reward_mean,233.2,reward_threshold,285.6
509:,loss,0.485,reward_mean,231.2,reward_threshold,287.9
510:,loss,0.499,reward_mean,233.9,reward_threshold,289.9
511:,loss,0.514,reward_mean,242.5,reward_threshold,288.6
512:,loss,0.543,reward_mean,187.4,reward_threshold,280.9
513:,loss,0.565,reward_mean,188.1,reward_threshold,277.7
514:,loss,0.484,reward_mean,203.2,reward_threshold,288.1
515:,loss,0.506,reward_mean,213.3,reward_threshold,301.6
516:,loss,0.46,reward_mean,213.7,reward_threshold,295
517:,loss,0.478,reward_mean,214.7,reward_threshold,297.5
518:,loss,0.49,reward_mean,191.2,reward_threshold,295.5
519:,loss,0.452,reward_mean,209.8,reward_threshold,292.7
520:,loss,0.477,reward_mean,186.8,reward_threshold,294
521:,loss,0.452,reward_mean,183.7,reward_threshold,292.4
522:,loss,0.43,reward_mean,181.8,reward_threshold,290.4
523:,loss,0.45,reward_mean,197.1,reward_threshold,296.7
524:,loss,0.452,reward_mean,185.9,reward_threshold,292.2
525:,loss,0.456,reward_mean,207.1,reward_threshold,296.8
526:,loss,0.511,reward_mean,203.1,reward_threshold,297.1
527:,loss,0.499,reward_mean,225.7,reward_threshold,297.9
528:,loss,0.531,reward_mean,242.1,reward_threshold,295.2
529:,loss,0.513,reward_mean,251.9,reward_threshold,300.2
530:,loss,0.515,reward_mean,255.4,reward_threshold,301.1
531:,loss,0.486,reward_mean,249.7,reward_threshold,304.8
532:,loss,0.507,reward_mean,226.8,reward_threshold,301.5
533:,loss,0.516,reward_mean,240.3,reward_threshold,306.3
534:,loss,0.485,reward_mean,229.5,reward_threshold,306.5
535:,loss,0.512,reward_mean,227.9,reward_threshold,305.8
536:,loss,0.464,reward_mean,252,reward_threshold,307.3
537:,loss,0.501,reward_mean,224.8,reward_threshold,300.6
538:,loss,0.496,reward_mean,225.9,reward_threshold,304.2
539:,loss,0.471,reward_mean,231,reward_threshold,305.7
540:,loss,0.475,reward_mean,231.8,reward_threshold,305.4
541:,loss,0.469,reward_mean,255.9,reward_threshold,308.1
542:,loss,0.464,reward_mean,240.1,reward_threshold,308.7
543:,loss,0.469,reward_mean,248.4,reward_threshold,305.3
544:,loss,0.483,reward_mean,257.5,reward_threshold,307.6
545:,loss,0.487,reward_mean,252.7,reward_threshold,305.1
546:,loss,0.439,reward_mean,250.4,reward_threshold,305
547:,loss,0.415,reward_mean,251.1,reward_threshold,306
548:,loss,0.467,reward_mean,248.3,reward_threshold,305.7
549:,loss,0.504,reward_mean,256.1,reward_threshold,302.7
550:,loss,0.432,reward_mean,248.6,reward_threshold,303.4
551:,loss,0.451,reward_mean,255.4,reward_threshold,306.5
552:,loss,0.407,reward_mean,261.6,reward_threshold,304.1
553:,loss,0.444,reward_mean,257.3,reward_threshold,306.7
554:,loss,0.413,reward_mean,256.1,reward_threshold,301.7
555:,loss,0.422,reward_mean,253.5,reward_threshold,304.9
556:,loss,0.436,reward_mean,260.7,reward_threshold,310.4
557:,loss,0.402,reward_mean,258,reward_threshold,307.3
558:,loss,0.412,reward_mean,251.8,reward_threshold,303.7
559:,loss,0.411,reward_mean,251.8,reward_threshold,302.6
560:,loss,0.431,reward_mean,238.7,reward_threshold,304.8
561:,loss,0.406,reward_mean,236,reward_threshold,304.9
562:,loss,0.398,reward_mean,242.4,reward_threshold,303
563:,loss,0.404,reward_mean,242.9,reward_threshold,305.7
564:,loss,0.413,reward_mean,244.9,reward_threshold,306.3
565:,loss,0.418,reward_mean,245.4,reward_threshold,307.6
566:,loss,0.446,reward_mean,247.3,reward_threshold,304.2
567:,loss,0.43,reward_mean,241.5,reward_threshold,297.9
568:,loss,0.427,reward_mean,237.9,reward_threshold,302.2
569:,loss,0.443,reward_mean,232.8,reward_threshold,303.7
570:,loss,0.422,reward_mean,218.8,reward_threshold,300.9
571:,loss,0.427,reward_mean,208,reward_threshold,299.4
572:,loss,0.411,reward_mean,226.3,reward_threshold,304.7
573:,loss,0.387,reward_mean,246.8,reward_threshold,305.5
574:,loss,0.383,reward_mean,242.9,reward_threshold,306.1
575:,loss,0.436,reward_mean,253.7,reward_threshold,304.6
576:,loss,0.43,reward_mean,254.1,reward_threshold,304.9
577:,loss,0.399,reward_mean,257.1,reward_threshold,302.7
578:,loss,0.423,reward_mean,251.9,reward_threshold,305.9
579:,loss,0.449,reward_mean,253.2,reward_threshold,305.6
580:,loss,0.444,reward_mean,266.6,reward_threshold,308.7
581:,loss,0.428,reward_mean,265.6,reward_threshold,301.6
582:,loss,0.438,reward_mean,250.8,reward_threshold,299.8
583:,loss,0.458,reward_mean,240.7,reward_threshold,301.7
584:,loss,0.463,reward_mean,227.3,reward_threshold,300
585:,loss,0.439,reward_mean,203.1,reward_threshold,302
586:,loss,0.458,reward_mean,219.2,reward_threshold,295.5
587:,loss,0.453,reward_mean,208.7,reward_threshold,300.5
588:,loss,0.434,reward_mean,215,reward_threshold,298.2
589:,loss,0.468,reward_mean,215.7,reward_threshold,297.7
590:,loss,0.42,reward_mean,233.4,reward_threshold,302.4
591:,loss,0.407,reward_mean,236.7,reward_threshold,303.8
592:,loss,0.41,reward_mean,230.9,reward_threshold,307.6
593:,loss,0.388,reward_mean,244,reward_threshold,306.7
594:,loss,0.43,reward_mean,247.6,reward_threshold,307.6
595:,loss,0.46,reward_mean,249.7,reward_threshold,300.9
596:,loss,0.486,reward_mean,244.4,reward_threshold,304.5
597:,loss,0.468,reward_mean,241.3,reward_threshold,303.3
598:,loss,0.451,reward_mean,240.4,reward_threshold,300.6
599:,loss,0.487,reward_mean,232.1,reward_threshold,302.1
600:,loss,0.501,reward_mean,220.9,reward_threshold,299.7
601:,loss,0.459,reward_mean,225.7,reward_threshold,302.3
602:,loss,0.456,reward_mean,219.9,reward_threshold,306.4
603:,loss,0.447,reward_mean,243.1,reward_threshold,307.2
604:,loss,0.458,reward_mean,216.5,reward_threshold,305.5
605:,loss,0.428,reward_mean,214.3,reward_threshold,297.9
606:,loss,0.417,reward_mean,216.9,reward_threshold,300.4
607:,loss,0.407,reward_mean,203.1,reward_threshold,292.7
608:,loss,0.426,reward_mean,198.9,reward_threshold,298.1
609:,loss,0.432,reward_mean,215.2,reward_threshold,297.5
610:,loss,0.419,reward_mean,196,reward_threshold,298.6
611:,loss,0.435,reward_mean,186.7,reward_threshold,296.2
612:,loss,0.432,reward_mean,188.9,reward_threshold,294.8
613:,loss,0.408,reward_mean,187.4,reward_threshold,302.9
614:,loss,0.413,reward_mean,211,reward_threshold,299.3
615:,loss,0.418,reward_mean,196.4,reward_threshold,299.4
616:,loss,0.403,reward_mean,196.7,reward_threshold,305.5
617:,loss,0.409,reward_mean,189.6,reward_threshold,305.6
618:,loss,0.416,reward_mean,209.3,reward_threshold,307.2
619:,loss,0.447,reward_mean,195.8,reward_threshold,302
620:,loss,0.474,reward_mean,201.2,reward_threshold,296.9
621:,loss,0.491,reward_mean,217.7,reward_threshold,298.5
622:,loss,0.483,reward_mean,204.3,reward_threshold,294.9
623:,loss,0.457,reward_mean,203.3,reward_threshold,292.7
624:,loss,0.458,reward_mean,197,reward_threshold,289.5
625:,loss,0.482,reward_mean,210.3,reward_threshold,289.4
626:,loss,0.497,reward_mean,197,reward_threshold,287.1
627:,loss,0.481,reward_mean,194.3,reward_threshold,291.1
628:,loss,0.509,reward_mean,193.6,reward_threshold,290.8
629:,loss,0.503,reward_mean,192.8,reward_threshold,281.8
630:,loss,0.502,reward_mean,185.7,reward_threshold,291
631:,loss,0.473,reward_mean,197.2,reward_threshold,285.5
632:,loss,0.51,reward_mean,190.5,reward_threshold,284.1
633:,loss,0.459,reward_mean,196.2,reward_threshold,294.6
634:,loss,0.498,reward_mean,207.7,reward_threshold,292
635:,loss,0.474,reward_mean,237.4,reward_threshold,303.6
636:,loss,0.487,reward_mean,245,reward_threshold,300.6
637:,loss,0.475,reward_mean,237.6,reward_threshold,302.8
638:,loss,0.435,reward_mean,236.8,reward_threshold,307.2
639:,loss,0.424,reward_mean,234.6,reward_threshold,307.2
640:,loss,0.435,reward_mean,242.8,reward_threshold,310.6
641:,loss,0.41,reward_mean,214.1,reward_threshold,300.9
642:,loss,0.413,reward_mean,195.2,reward_threshold,300.2
643:,loss,0.451,reward_mean,186.7,reward_threshold,296.6
644:,loss,0.416,reward_mean,189,reward_threshold,299.7
645:,loss,0.497,reward_mean,185.2,reward_threshold,292.2
646:,loss,0.428,reward_mean,190.8,reward_threshold,298.1
647:,loss,0.402,reward_mean,216.3,reward_threshold,304.8
648:,loss,0.453,reward_mean,215.2,reward_threshold,302
649:,loss,0.461,reward_mean,224.8,reward_threshold,304.9
650:,loss,0.473,reward_mean,213.3,reward_threshold,299.7
651:,loss,0.396,reward_mean,222.2,reward_threshold,302.2
652:,loss,0.415,reward_mean,231.4,reward_threshold,303.5
653:,loss,0.446,reward_mean,242.6,reward_threshold,303.7
654:,loss,0.503,reward_mean,226.9,reward_threshold,297.5
655:,loss,0.511,reward_mean,241.2,reward_threshold,301.2
656:,loss,0.468,reward_mean,249.4,reward_threshold,304.4
657:,loss,0.439,reward_mean,262.1,reward_threshold,307.7
658:,loss,0.42,reward_mean,260.4,reward_threshold,305.6
659:,loss,0.448,reward_mean,262.8,reward_threshold,308
660:,loss,0.441,reward_mean,269.1,reward_threshold,308.4
661:,loss,0.444,reward_mean,268.6,reward_threshold,308.4
662:,loss,0.424,reward_mean,265.5,reward_threshold,307.2
663:,loss,0.505,reward_mean,266.1,reward_threshold,302.3
664:,loss,0.509,reward_mean,272.6,reward_threshold,304.7
665:,loss,0.494,reward_mean,271.7,reward_threshold,306.9
666:,loss,0.476,reward_mean,270.3,reward_threshold,304.2
667:,loss,0.483,reward_mean,272.1,reward_threshold,304.8
668:,loss,0.525,reward_mean,272.8,reward_threshold,305.5
669:,loss,0.45,reward_mean,268.8,reward_threshold,303
670:,loss,0.437,reward_mean,270.6,reward_threshold,303.7
671:,loss,0.47,reward_mean,266.7,reward_threshold,303.9
672:,loss,0.476,reward_mean,270.5,reward_threshold,306.2
673:,loss,0.477,reward_mean,268.1,reward_threshold,307.6
674:,loss,0.501,reward_mean,253.9,reward_threshold,303.8
675:,loss,0.48,reward_mean,243.2,reward_threshold,308.6
676:,loss,0.512,reward_mean,235.3,reward_threshold,307.9
677:,loss,0.528,reward_mean,238.1,reward_threshold,308.5
678:,loss,0.487,reward_mean,226,reward_threshold,305.8
679:,loss,0.521,reward_mean,243.5,reward_threshold,306.9
680:,loss,0.497,reward_mean,237.7,reward_threshold,305.7
681:,loss,0.498,reward_mean,244.9,reward_threshold,309.7
682:,loss,0.459,reward_mean,241.2,reward_threshold,305.2
683:,loss,0.511,reward_mean,262.6,reward_threshold,306.3
684:,loss,0.488,reward_mean,263.3,reward_threshold,305
685:,loss,0.495,reward_mean,267.2,reward_threshold,308.3
686:,loss,0.502,reward_mean,270.1,reward_threshold,304
687:,loss,0.516,reward_mean,272,reward_threshold,305.9
688:,loss,0.52,reward_mean,273.7,reward_threshold,302.4
689:,loss,0.508,reward_mean,270.9,reward_threshold,302.6
690:,loss,0.514,reward_mean,270.1,reward_threshold,304.7
691:,loss,0.534,reward_mean,266.2,reward_threshold,302.6
692:,loss,0.536,reward_mean,274.2,reward_threshold,303.9
693:,loss,0.565,reward_mean,277,reward_threshold,307.8
694:,loss,0.519,reward_mean,280.3,reward_threshold,307.1
695:,loss,0.521,reward_mean,270.9,reward_threshold,304.7
696:,loss,0.549,reward_mean,259.9,reward_threshold,306.9
697:,loss,0.543,reward_mean,253.9,reward_threshold,305.7
698:,loss,0.553,reward_mean,259.2,reward_threshold,305.5
699:,loss,0.513,reward_mean,231.1,reward_threshold,302.5
700:,loss,0.528,reward_mean,239.9,reward_threshold,299.6
701:,loss,0.492,reward_mean,245,reward_threshold,302.8
702:,loss,0.539,reward_mean,240.2,reward_threshold,303.3
703:,loss,0.473,reward_mean,243.9,reward_threshold,300.8
704:,loss,0.524,reward_mean,249,reward_threshold,303.2
705:,loss,0.531,reward_mean,244.4,reward_threshold,302.4
706:,loss,0.511,reward_mean,244.7,reward_threshold,301.4
707:,loss,0.525,reward_mean,231.7,reward_threshold,300.8
708:,loss,0.561,reward_mean,252.1,reward_threshold,305.8
709:,loss,0.49,reward_mean,260.7,reward_threshold,304.4
710:,loss,0.525,reward_mean,258.9,reward_threshold,302.4
711:,loss,0.529,reward_mean,259.1,reward_threshold,306.7
712:,loss,0.498,reward_mean,268.9,reward_threshold,304.5
713:,loss,0.519,reward_mean,258.6,reward_threshold,303.2
714:,loss,0.482,reward_mean,261.8,reward_threshold,305
715:,loss,0.518,reward_mean,249.2,reward_threshold,304.3
716:,loss,0.498,reward_mean,246.1,reward_threshold,301.3
717:,loss,0.501,reward_mean,247.8,reward_threshold,303
718:,loss,0.529,reward_mean,243.1,reward_threshold,301.9
719:,loss,0.494,reward_mean,245.6,reward_threshold,302.9
720:,loss,0.498,reward_mean,267.9,reward_threshold,302.9
721:,loss,0.497,reward_mean,249.2,reward_threshold,304.5
722:,loss,0.443,reward_mean,246.6,reward_threshold,300
723:,loss,0.511,reward_mean,246.6,reward_threshold,297.9
724:,loss,0.455,reward_mean,233,reward_threshold,302
725:,loss,0.475,reward_mean,247.1,reward_threshold,305.7
726:,loss,0.464,reward_mean,237.1,reward_threshold,303.3
727:,loss,0.446,reward_mean,230.5,reward_threshold,303.7
728:,loss,0.43,reward_mean,233.8,reward_threshold,306.3
729:,loss,0.423,reward_mean,239.4,reward_threshold,304.3
730:,loss,0.421,reward_mean,237.2,reward_threshold,299.1
731:,loss,0.383,reward_mean,245.4,reward_threshold,301.9
732:,loss,0.4,reward_mean,250.7,reward_threshold,304.1
733:,loss,0.4,reward_mean,243.9,reward_threshold,300.2
734:,loss,0.407,reward_mean,244.3,reward_threshold,298.6
735:,loss,0.368,reward_mean,244.7,reward_threshold,293.2
736:,loss,0.396,reward_mean,240.6,reward_threshold,291.5
737:,loss,0.355,reward_mean,225.1,reward_threshold,296.4
738:,loss,0.375,reward_mean,234.8,reward_threshold,299.7
739:,loss,0.381,reward_mean,230.7,reward_threshold,299.6
740:,loss,0.37,reward_mean,214.1,reward_threshold,300.1
741:,loss,0.366,reward_mean,218.9,reward_threshold,298.6
742:,loss,0.377,reward_mean,215,reward_threshold,302.5
743:,loss,0.378,reward_mean,236.4,reward_threshold,301.7
744:,loss,0.352,reward_mean,239.3,reward_threshold,304
745:,loss,0.357,reward_mean,242.5,reward_threshold,298.5
746:,loss,0.409,reward_mean,224.7,reward_threshold,297.4
747:,loss,0.436,reward_mean,230.4,reward_threshold,290.4
748:,loss,0.441,reward_mean,239.7,reward_threshold,286
749:,loss,0.463,reward_mean,216.2,reward_threshold,285.3
750:,loss,0.476,reward_mean,229.5,reward_threshold,288
751:,loss,0.465,reward_mean,221.2,reward_threshold,288.2
752:,loss,0.424,reward_mean,244.1,reward_threshold,296.9
753:,loss,0.383,reward_mean,255,reward_threshold,301.7
754:,loss,0.399,reward_mean,241.6,reward_threshold,297.6
755:,loss,0.409,reward_mean,256.2,reward_threshold,300.1
756:,loss,0.385,reward_mean,254.5,reward_threshold,302.9
757:,loss,0.36,reward_mean,244.9,reward_threshold,305.7
758:,loss,0.402,reward_mean,243.5,reward_threshold,301.9
759:,loss,0.378,reward_mean,237.4,reward_threshold,306.1
760:,loss,0.4,reward_mean,226.2,reward_threshold,303.8
761:,loss,0.392,reward_mean,221.9,reward_threshold,303.9
762:,loss,0.38,reward_mean,206.9,reward_threshold,302.2
763:,loss,0.404,reward_mean,231.7,reward_threshold,305.2
764:,loss,0.368,reward_mean,225.2,reward_threshold,303.3
765:,loss,0.33,reward_mean,205.3,reward_threshold,306.7
766:,loss,0.443,reward_mean,211.4,reward_threshold,305
767:,loss,0.389,reward_mean,199.7,reward_threshold,303
768:,loss,0.416,reward_mean,202.4,reward_threshold,300.5
769:,loss,0.436,reward_mean,218.5,reward_threshold,303.6
770:,loss,0.435,reward_mean,213.7,reward_threshold,302.6
771:,loss,0.433,reward_mean,206.5,reward_threshold,308
772:,loss,0.413,reward_mean,237.8,reward_threshold,308.4
773:,loss,0.418,reward_mean,225.7,reward_threshold,306.2
774:,loss,0.431,reward_mean,228.4,reward_threshold,310.9
775:,loss,0.466,reward_mean,227.2,reward_threshold,304.2
776:,loss,0.454,reward_mean,235.1,reward_threshold,307.7
777:,loss,0.433,reward_mean,246,reward_threshold,308.5
778:,loss,0.456,reward_mean,243.2,reward_threshold,301.9
779:,loss,0.48,reward_mean,249.7,reward_threshold,301.8
780:,loss,0.495,reward_mean,225.1,reward_threshold,298.2
781:,loss,0.464,reward_mean,243.5,reward_threshold,299.1
782:,loss,0.499,reward_mean,246.6,reward_threshold,304.7
783:,loss,0.505,reward_mean,244.1,reward_threshold,305.6
784:,loss,0.474,reward_mean,243.8,reward_threshold,306.5
785:,loss,0.529,reward_mean,208.9,reward_threshold,301.2
786:,loss,0.577,reward_mean,224.4,reward_threshold,300
787:,loss,0.431,reward_mean,213.1,reward_threshold,302.4
788:,loss,0.479,reward_mean,209.7,reward_threshold,306.7
789:,loss,0.469,reward_mean,206,reward_threshold,302.3
790:,loss,0.535,reward_mean,220,reward_threshold,304.7
791:,loss,0.509,reward_mean,213,reward_threshold,302.3
792:,loss,0.532,reward_mean,228,reward_threshold,307.4
793:,loss,0.539,reward_mean,241.2,reward_threshold,306
794:,loss,0.486,reward_mean,252.4,reward_threshold,302.8
795:,loss,0.515,reward_mean,269.1,reward_threshold,302.5
796:,loss,0.511,reward_mean,262.8,reward_threshold,306.3
797:,loss,0.49,reward_mean,271.4,reward_threshold,305.8
798:,loss,0.517,reward_mean,275.8,reward_threshold,302.1
799:,loss,0.529,reward_mean,276,reward_threshold,299.3
800:,loss,0.545,reward_mean,271.5,reward_threshold,299.9
801:,loss,0.548,reward_mean,270.2,reward_threshold,298.6
802:,loss,0.591,reward_mean,272.1,reward_threshold,297.4
803:,loss,0.572,reward_mean,269.6,reward_threshold,296.7
804:,loss,0.582,reward_mean,269.4,reward_threshold,295.6
805:,loss,0.629,reward_mean,268.6,reward_threshold,295.8
806:,loss,0.619,reward_mean,266.1,reward_threshold,295.2
807:,loss,0.632,reward_mean,270,reward_threshold,295.2
808:,loss,0.631,reward_mean,268,reward_threshold,293.5
809:,loss,0.612,reward_mean,270.1,reward_threshold,295.4
810:,loss,0.584,reward_mean,271,reward_threshold,295.4
811:,loss,0.591,reward_mean,271.4,reward_threshold,296.6
812:,loss,0.559,reward_mean,272.2,reward_threshold,298.4
813:,loss,0.55,reward_mean,266.8,reward_threshold,297.3
814:,loss,0.569,reward_mean,264.4,reward_threshold,298
815:,loss,0.543,reward_mean,241,reward_threshold,298.1
816:,loss,0.611,reward_mean,239,reward_threshold,299.2
817:,loss,0.56,reward_mean,236.4,reward_threshold,297.6
818:,loss,0.538,reward_mean,228.1,reward_threshold,299.9
819:,loss,0.544,reward_mean,220.2,reward_threshold,299.8
820:,loss,0.587,reward_mean,234.7,reward_threshold,303
821:,loss,0.539,reward_mean,243.5,reward_threshold,301.1
822:,loss,0.595,reward_mean,244.1,reward_threshold,300.9
823:,loss,0.569,reward_mean,248,reward_threshold,303.3
824:,loss,0.561,reward_mean,236.7,reward_threshold,301.7
825:,loss,0.573,reward_mean,246.8,reward_threshold,304.1
826:,loss,0.513,reward_mean,238.8,reward_threshold,304.7
827:,loss,0.527,reward_mean,242.6,reward_threshold,304.5
828:,loss,0.579,reward_mean,257.6,reward_threshold,303.3
829:,loss,0.596,reward_mean,235.4,reward_threshold,303
830:,loss,0.485,reward_mean,234,reward_threshold,303.1
831:,loss,0.495,reward_mean,239.6,reward_threshold,305.3
832:,loss,0.539,reward_mean,240.3,reward_threshold,303.1
833:,loss,0.508,reward_mean,228.5,reward_threshold,303.1
834:,loss,0.504,reward_mean,245.6,reward_threshold,305
835:,loss,0.524,reward_mean,259.7,reward_threshold,306.9
836:,loss,0.501,reward_mean,246.4,reward_threshold,305.4
837:,loss,0.525,reward_mean,260.4,reward_threshold,308.1
838:,loss,0.463,reward_mean,252.2,reward_threshold,303.3
839:,loss,0.48,reward_mean,263.5,reward_threshold,304.8
840:,loss,0.513,reward_mean,258.9,reward_threshold,306.5
841:,loss,0.482,reward_mean,254.1,reward_threshold,304.6
842:,loss,0.479,reward_mean,254.1,reward_threshold,302.7
843:,loss,0.48,reward_mean,258.9,reward_threshold,304.3
844:,loss,0.45,reward_mean,255,reward_threshold,303.2
845:,loss,0.445,reward_mean,240.6,reward_threshold,304.2
846:,loss,0.517,reward_mean,231.3,reward_threshold,304.5
847:,loss,0.457,reward_mean,231.1,reward_threshold,303.4
848:,loss,0.423,reward_mean,223.2,reward_threshold,303.1
849:,loss,0.467,reward_mean,225.7,reward_threshold,304.1
850:,loss,0.468,reward_mean,231.7,reward_threshold,304.3
851:,loss,0.449,reward_mean,229.4,reward_threshold,302.1
852:,loss,0.449,reward_mean,247.2,reward_threshold,306
853:,loss,0.45,reward_mean,242.2,reward_threshold,306.2
854:,loss,0.459,reward_mean,254.5,reward_threshold,308.7
855:,loss,0.529,reward_mean,249.6,reward_threshold,303.7
856:,loss,0.486,reward_mean,251.4,reward_threshold,304.7
857:,loss,0.485,reward_mean,271.5,reward_threshold,306
858:,loss,0.461,reward_mean,267.5,reward_threshold,306.8
859:,loss,0.557,reward_mean,262.4,reward_threshold,304.3
860:,loss,0.518,reward_mean,270.5,reward_threshold,306.7
861:,loss,0.482,reward_mean,274.8,reward_threshold,305.5
862:,loss,0.496,reward_mean,272.7,reward_threshold,305.9
863:,loss,0.507,reward_mean,272,reward_threshold,307.2
864:,loss,0.507,reward_mean,272.4,reward_threshold,306.1
865:,loss,0.481,reward_mean,270.8,reward_threshold,303.9
866:,loss,0.533,reward_mean,274.9,reward_threshold,308.4
867:,loss,0.516,reward_mean,272,reward_threshold,307
868:,loss,0.512,reward_mean,269.9,reward_threshold,301.8
869:,loss,0.51,reward_mean,265.9,reward_threshold,302.7
870:,loss,0.507,reward_mean,270.2,reward_threshold,303.3
871:,loss,0.509,reward_mean,281,reward_threshold,305.4
872:,loss,0.48,reward_mean,277.7,reward_threshold,304.1
873:,loss,0.522,reward_mean,278.2,reward_threshold,306.3
874:,loss,0.524,reward_mean,276,reward_threshold,299
875:,loss,0.564,reward_mean,272,reward_threshold,301.1
876:,loss,0.564,reward_mean,272.2,reward_threshold,297.7
877:,loss,0.525,reward_mean,272.7,reward_threshold,302.5
878:,loss,0.529,reward_mean,274.8,reward_threshold,299.5
879:,loss,0.552,reward_mean,270.9,reward_threshold,297.9
880:,loss,0.523,reward_mean,275.1,reward_threshold,300.5
881:,loss,0.54,reward_mean,269.8,reward_threshold,297.6
882:,loss,0.547,reward_mean,268.8,reward_threshold,296.9
883:,loss,0.519,reward_mean,272.8,reward_threshold,300.1
884:,loss,0.51,reward_mean,270.3,reward_threshold,302.7
885:,loss,0.48,reward_mean,274.7,reward_threshold,306
886:,loss,0.477,reward_mean,269.8,reward_threshold,303.7
887:,loss,0.444,reward_mean,275.9,reward_threshold,305.8
888:,loss,0.44,reward_mean,274.5,reward_threshold,307.9
889:,loss,0.423,reward_mean,266.9,reward_threshold,304.6
890:,loss,0.425,reward_mean,272.3,reward_threshold,307.3
891:,loss,0.389,reward_mean,271.6,reward_threshold,310.6
892:,loss,0.44,reward_mean,271,reward_threshold,307.1
893:,loss,0.406,reward_mean,270.9,reward_threshold,311.1
894:,loss,0.397,reward_mean,265.6,reward_threshold,310.4
895:,loss,0.411,reward_mean,258.3,reward_threshold,310.2
896:,loss,0.362,reward_mean,255.3,reward_threshold,307.6
897:,loss,0.461,reward_mean,245.9,reward_threshold,307
898:,loss,0.454,reward_mean,239.3,reward_threshold,306.3
899:,loss,0.325,reward_mean,214.3,reward_threshold,308.1
900:,loss,0.373,reward_mean,203.7,reward_threshold,308.8
901:,loss,0.348,reward_mean,205.7,reward_threshold,303.2
902:,loss,0.382,reward_mean,198.2,reward_threshold,305.1
903:,loss,0.385,reward_mean,203.1,reward_threshold,310.2
904:,loss,0.426,reward_mean,214.6,reward_threshold,311.2
905:,loss,0.458,reward_mean,210.9,reward_threshold,305.9
906:,loss,0.458,reward_mean,210,reward_threshold,304.1
907:,loss,0.537,reward_mean,213.4,reward_threshold,309.3
908:,loss,0.454,reward_mean,212.4,reward_threshold,303.5
909:,loss,0.455,reward_mean,216.1,reward_threshold,304.5
910:,loss,0.45,reward_mean,210.1,reward_threshold,306.4
